Time,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3
10.1,876.8696659,895.8223126,886.3508133,199.9990609,200.9990511,209.9989562,34.82685305,32.29013172,32.9826109
9.1,854.8984581,872.8828679,863.8996869,199.9962438,200.9962043,209.9958247,32.82685305,34.29013172,33.9826109
8.1,814.1015311,830.3567498,822.2450137,199.9849759,200.9848179,209.9832998,33.82685305,33.29013172,35.9826109
7.1,743.1712302,756.6318198,749.9265578,199.9399172,200.9392853,209.9332151,31.82685305,31.29013172,34.9826109
6.1,632.8878682,642.5343544,637.7442339,199.7598851,200.7573612,209.733115,35.82685305,32.29013172,37.9826109
5.1,488.0414366,493.6522465,490.8813046,199.0429875,200.0329469,208.9365148,33.82685305,36.29013172,32.9826109
4.1,334.7950958,337.3274592,336.0888601,196.2261246,197.1868257,205.8097207,35.82685305,35.29013172,31.9826109
3.1,205.6474049,206.5262085,206.1045668,185.713245,186.5686358,194.1855535,32.82685305,37.29013172,30.9826109
2.1,116.0864071,116.3190452,116.2127062,152.9383532,153.5047181,158.3997719,33.82685305,34.29013172,33.9826109
1.1,62.04461252,62.08429773,62.06969791,89.65129175,89.82742291,91.18390817,32.82685305,31.29013172,39.9826109
0.1,32.12979555,32.12613165,32.13063967,33.764032,33.7786961,33.80471182,31.82685305,30.29013172,31.9826109
