album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2020-07-24,the 1,0.78,0.361,-6.942,139.902,210240
2020-07-24,cardigan,0.612,0.58,-8.572,130.045,239560
2020-07-24,the last great american dynasty,0.688,0.653,-8.558,147.991,231000
2020-07-24,exile,0.31,0.374,-8.464,75.938,285640
2020-07-24,my tears ricochet,0.456,0.265,-10.663,129.947,255893
2020-07-24,mirrorball,0.549,0.417,-10.064,110.137,208973
2020-07-24,seven,0.602,0.494,-10.813,94.955,208907
2020-07-24,august,0.387,0.634,-9.222,89.567,261920
2020-07-24,this is me trying,0.511,0.478,-9.837,135.882,195107
2020-07-24,illicit affairs,0.529,0.304,-10.567,119.58,190893
2020-07-24,invisible string,0.651,0.459,-11.128,83.455,252880
2020-07-24,mad woman,0.593,0.7,-9.016,141.898,237267
2020-07-24,epiphany,0.317,0.254,-13.679,93.933,289747
2020-07-24,betty,0.595,0.376,-8.767,95.946,294520
2020-07-24,peace,0.644,0.284,-12.879,150.072,234000
2020-07-24,hoax,0.676,0.178,-15.01,118.84,220040
2020-07-24,the lakes,0.313,0.258,-11.532,179.947,211813
