album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2019-08-23,I Forgot That You Existed,0.664,0.316,-10.345,92.875,170640
2019-08-23,Cruel Summer,0.552,0.702,-5.707,169.994,178427
2019-08-23,Lover,0.359,0.543,-7.582,68.534,221307
2019-08-23,The Man,0.777,0.658,-5.191,110.048,190360
2019-08-23,The Archer,0.292,0.574,-9.375,124.344,211240
2019-08-23,I Think He Knows,0.897,0.366,-8.029,100.003,173387
2019-08-23,Miss Americana & The Heartbreak Prince,0.662,0.747,-6.926,150.088,234147
2019-08-23,Paper Rings,0.811,0.719,-6.553,103.979,222400
2019-08-23,Cornelia Street,0.824,0.624,-9.728,102.012,287267
2019-08-23,Death By A Thousand Cuts,0.712,0.732,-6.754,94.071,198533
2019-08-23,London Boy,0.695,0.71,-6.639,157.925,190240
2019-08-23,Soon You'll Get Better,0.433,0.182,-12.566,207.476,201587
2019-08-23,False God,0.739,0.32,-10.862,79.97,200307
2019-08-23,You Need To Calm Down,0.771,0.671,-5.617,85.026,171360
2019-08-23,Afterglow,0.756,0.449,-8.746,111.011,223293
2019-08-23,ME!,0.61,0.83,-4.105,182.162,193000
2019-08-23,It's Nice To Have A Friend,0.737,0.175,-9.912,70.008,150440
2019-08-23,Daylight,0.557,0.496,-9.602,149.983,293453
