album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2021-11-12,State Of Grace (Taylor's Version),0.594,0.713,-5.314,129.958,295413
2021-11-12,Red (Taylor's Version),0.516,0.777,-4.908,125.047,223093
2021-11-12,Treacherous (Taylor's Version),0.645,0.593,-6.506,109.984,242720
2021-11-12,I Knew You Were Trouble (Taylor's Version),0.584,0.557,-6.371,154.008,219760
2021-11-12,All Too Well (Taylor's Version),0.44,0.528,-7.809,185.972,329160
2021-11-12,22 (Taylor's Version),0.642,0.695,-5.62,103.984,230960
2021-11-12,I Almost Do (Taylor's Version),0.511,0.559,-6.587,145.88,244587
2021-11-12,We Are Never Ever Getting Back Together (Taylor's Version),0.567,0.686,-6.139,172.014,193147
2021-11-12,Stay Stay Stay (Taylor's Version),0.693,0.681,-7.039,100.02,205787
2021-11-12,The Last Time (Taylor's Version),0.502,0.534,-5.954,94.05,299080
2021-11-12,Holy Ground (Taylor's Version),0.622,0.809,-5.623,156.894,202960
2021-11-12,Sad Beautiful Tragic (Taylor's Version),0.601,0.406,-11.827,130.059,284773
2021-11-12,The Lucky One (Taylor's Version),0.686,0.571,-7.138,117.889,240467
2021-11-12,Everything Has Changed (Taylor's Version),0.498,0.61,-5.098,79.918,245427
2021-11-12,Starlight (Taylor's Version),0.628,0.685,-5.864,126.014,220413
2021-11-12,Begin Again (Taylor's Version),0.519,0.527,-7.673,78.915,238867
2021-11-12,The Moment I Knew (Taylor's Version),0.636,0.402,-7.855,125.952,285280
2021-11-12,Come Back...Be Here (Taylor's Version),0.46,0.632,-6.031,79.846,223333
2021-11-12,Girl At Home (Taylor's Version),0.691,0.736,-6.974,125.089,220520
2021-11-12,State Of Grace (Acoustic Version) [Taylor's Version],0.445,0.131,-13.778,208.918,321640
2021-11-12,Ronan (Taylor's Version),0.623,0.279,-10.802,116.04,264253
2021-11-12,Better Man (Taylor's Version) [From The Vault],0.473,0.579,-5.824,73.942,297013
2021-11-12,Nothing New (Taylor's Version) [From The Vault],0.606,0.377,-9.455,101.96,258813
2021-11-12,Babe (Taylor's Version) [From The Vault],0.584,0.743,-7.075,167.844,224240
2021-11-12,Message In A Bottle (Taylor's Version) [From The Vault],0.622,0.791,-6.106,115.915,225960
2021-11-12,I Bet You Think About Me (Taylor's Version) [From The Vault],0.391,0.715,-4.516,149.654,285107
2021-11-12,Forever Winter (Taylor's Version) [From The Vault],0.611,0.552,-5.828,116.012,263533
2021-11-12,Run (Taylor's Version) [From The Vault],0.61,0.488,-6.918,125.039,240227
2021-11-12,The Very First Night (Taylor's Version) [From The Vault],0.678,0.733,-5.025,121.009,200280
2021-11-12,All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],0.631,0.518,-8.771,93.023,613027
