album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2017-11-10,...Ready For It?,0.613,0.764,-6.509,160.015,208187
2017-11-10,End Game,0.649,0.589,-6.237,159.073,244827
2017-11-10,I Did Something Bad,0.696,0.602,-6.156,82.989,238253
2017-11-10,Don't Blame Me,0.615,0.534,-6.719,135.917,236413
2017-11-10,Delicate,0.75,0.404,-10.178,95.045,232253
2017-11-10,Look What You Made Me Do,0.766,0.709,-6.471,128.07,211853
2017-11-10,So It Goes...,0.574,0.61,-7.283,74.957,227907
2017-11-10,Gorgeous,0.8,0.535,-6.684,92.027,209680
2017-11-10,Getaway Car,0.562,0.689,-6.745,172.054,233627
2017-11-10,King Of My Heart,0.675,0.703,-7.902,110.01,214320
2017-11-10,Dancing With Our Hands Tied,0.624,0.691,-6.686,160.024,211507
2017-11-10,Dress,0.719,0.469,-8.792,120.085,230373
2017-11-10,This Is Why We Can't Have Nice Things,0.567,0.789,-5.986,163.96,207133
2017-11-10,Call It What You Want,0.598,0.504,-9.874,163.954,203507
2017-11-10,New Year's Day,0.661,0.151,-12.864,94.922,235467
