album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2014-10-27,Welcome To New York,0.789,0.634,-4.762,116.992,212600
2014-10-27,Blank Space,0.76,0.703,-5.412,95.997,231827
2014-10-27,Style,0.588,0.791,-5.595,94.933,231000
2014-10-27,Out Of The Woods,0.553,0.841,-6.937,92.008,235800
2014-10-27,All You Had To Do Was Stay,0.605,0.725,-5.729,96.97,193293
2014-10-27,Shake It Off,0.647,0.8,-5.384,160.078,219200
2014-10-27,I Wish You Would,0.653,0.893,-5.966,118.035,207440
2014-10-27,Bad Blood,0.646,0.794,-6.104,170.216,211933
2014-10-27,Wildest Dreams,0.55,0.688,-7.416,139.997,220440
2014-10-27,How You Get The Girl,0.765,0.656,-6.112,119.997,247533
2014-10-27,This Love,0.481,0.435,-8.795,143.95,250093
2014-10-27,I Know Places,0.602,0.755,-4.991,159.965,195707
2014-10-27,Clean,0.815,0.377,-7.754,103.97,271000
2014-10-27,Wonderland,0.422,0.692,-5.447,184.014,245560
2014-10-27,You Are In Love,0.474,0.48,-8.894,170.109,267107
2014-10-27,New Romantics,0.633,0.889,-5.87,121.956,230467
