album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2020-12-11,willow,0.392,0.574,-9.195,81.112,214707
2020-12-11,champagne problems,0.462,0.24,-12.077,171.319,244000
2020-12-11,gold rush,0.512,0.462,-10.491,112.05,185320
2020-12-11,'tis the damn season,0.575,0.434,-8.193,145.916,229840
2020-12-11,tolerate it,0.316,0.361,-10.381,74.952,245440
2020-12-11,"no body, no crime",0.546,0.613,-7.589,79.015,215627
2020-12-11,happiness,0.559,0.334,-10.733,122.079,315147
2020-12-11,dorothea,0.605,0.488,-8.322,119.966,225880
2020-12-11,coney island,0.537,0.537,-11.266,107.895,275320
2020-12-11,ivy,0.515,0.545,-9.277,88.856,260440
2020-12-11,cowboy like me,0.604,0.517,-9.014,127.967,275040
2020-12-11,long story short,0.546,0.73,-7.704,157.895,215920
2020-12-11,marjorie,0.535,0.561,-11.609,96.103,257773
2020-12-11,closure,0.689,0.704,-10.813,151.884,180653
2020-12-11,evermore,0.39,0.27,-10.673,125.177,304107
2020-12-11,right where you left me,0.581,0.619,-6.524,137.915,245027
2020-12-11,it's time to go,0.592,0.41,-12.426,151.923,254640
