album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2008-11-11,Fearless,0.598,0.714,-4.397,99.979,242000
2008-11-11,Fifteen,0.559,0.636,-4.4,95.485,294347
2008-11-11,Love Story,0.618,0.736,-3.937,118.982,235280
2008-11-11,Hey Stephen,0.843,0.553,-7.348,115.997,254320
2008-11-11,White Horse,0.585,0.346,-8.014,92.564,234440
2008-11-11,You Belong With Me,0.687,0.771,-4.424,129.964,231147
2008-11-11,Breathe,0.498,0.486,-7.384,147.952,263987
2008-11-11,Tell Me Why,0.601,0.852,-3.096,100.015,200560
2008-11-11,You're Not Sorry,0.459,0.459,-4.126,134.018,261800
2008-11-11,The Way I Loved You,0.436,0.712,-3.689,160.886,244240
2008-11-11,Forever & Always,0.605,0.829,-4.993,128.012,225333
2008-11-11,The Best Day,0.664,0.447,-8.535,126.079,245347
2008-11-11,Change,0.548,0.756,-4.175,96.038,281053
2008-11-11,Jump Then Fall,0.618,0.687,-5.737,79.991,237067
2008-11-11,Untouchable,0.419,0.454,-6.809,200.017,311040
2008-11-11,Forever & Always (Piano Version),0.592,0.16,-10.785,118.929,267507
2008-11-11,Come In With The Rain,0.527,0.475,-6.205,143.962,238107
2008-11-11,SuperStar,0.61,0.531,-6.123,85.979,261453
2008-11-11,The Other Side Of The Door,0.476,0.816,-4.279,163.847,237600
