album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2021-04-09,Fearless (Taylor's Version),0.569,0.741,-4.963,100.118,241592
2021-04-09,Fifteen (Taylor's Version),0.559,0.646,-4.61,95.466,294419
2021-04-09,Love Story (Taylor's Version),0.627,0.792,-4.311,119.054,235767
2021-04-09,Hey Stephen (Taylor's Version),0.788,0.571,-6.135,115.99,254255
2021-04-09,White Horse (Taylor's Version),0.423,0.517,-7.377,185.262,234516
2021-04-09,You Belong With Me (Taylor's Version),0.632,0.773,-4.856,130.033,231124
2021-04-09,Breathe (Taylor's Version),0.506,0.626,-6.066,148.035,263377
2021-04-09,Tell Me Why (Taylor's Version),0.578,0.909,-3.669,100.023,200576
2021-04-09,You're Not Sorry (Taylor's Version),0.506,0.444,-4.99,133.873,261843
2021-04-09,The Way I Loved You (Taylor's Version),0.402,0.732,-4.665,161.032,243137
2021-04-09,Forever & Always (Taylor's Version),0.598,0.821,-4.433,128.03,225328
2021-04-09,The Best Day (Taylor's Version),0.642,0.576,-8.524,125,245290
2021-04-09,Change (Taylor's Version),0.499,0.815,-4.063,95.999,279360
2021-04-09,Jump Then Fall (Taylor's Version),0.572,0.69,-6.201,160.111,237580
2021-04-09,Untouchable (Taylor's Version),0.393,0.531,-6.112,200.391,312107
2021-04-09,Forever & Always (Piano Version) [Taylor's Version],0.546,0.273,-9.208,118.753,267833
2021-04-09,Come In With The Rain (Taylor's Version),0.476,0.564,-5.677,143.929,237339
2021-04-09,SuperStar (Taylor's Version),0.454,0.555,-6.69,171.862,263865
2021-04-09,The Other Side Of The Door (Taylor's Version),0.432,0.873,-4.367,163.936,238444
2021-04-09,Today Was A Fairytale (Taylor's Version),0.482,0.779,-5.025,158.162,241822
2021-04-09,You All Over Me (Taylor's Version) [From The Vault],0.599,0.494,-7.61,142.893,220839
2021-04-09,Mr. Perfectly Fine (Taylor's Version) [From The Vault],0.66,0.817,-6.269,135.942,277592
2021-04-09,We Were Happy (Taylor's Version) [From The Vault],0.609,0.373,-8.819,106.007,244237
2021-04-09,That's When (Taylor's Version) [From The Vault],0.588,0.608,-7.062,90.201,189496
2021-04-09,Don't You (Taylor's Version) [From The Vault],0.563,0.473,-11.548,101.934,208609
2021-04-09,Bye Bye Baby (Taylor's Version) [From The Vault],0.624,0.624,-7.86,80.132,242158
