album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2022-10-21,Lavender Haze,0.735,0.444,-10.519,97.038,202396
2022-10-21,Maroon,0.658,0.378,-8.3,108.034,218271
2022-10-21,Anti-Hero,0.638,0.634,-6.582,96.953,200690
2022-10-21,Snow On The Beach,0.659,0.323,-13.425,110.007,256124
2022-10-21,"You're On Your Own, Kid",0.694,0.38,-10.307,120.044,194207
2022-10-21,Midnight Rain,0.636,0.377,-11.721,139.966,174783
2022-10-21,Question...?,0.751,0.502,-8.777,108.989,210557
2022-10-21,Vigilante Shit,0.87,0.279,-11.134,79.996,164801
2022-10-21,Bejeweled,0.7,0.55,-9.13,164.003,194166
2022-10-21,Labyrinth,0.487,0.313,-15.434,110.039,247962
2022-10-21,Karma,0.649,0.622,-7.054,90.024,204852
2022-10-21,Sweet Nothing,0.334,0.161,-14.875,176.747,188497
2022-10-21,Mastermind,0.661,0.352,-14.077,125.934,191039
2022-10-21,The Great War,0.573,0.741,-8.987,96.016,240356
2022-10-21,Bigger Than The Whole Sky,0.422,0.235,-12.379,165.71,218503
2022-10-21,Paris,0.7,0.509,-10.547,110.947,196259
2022-10-21,High Infidelity,0.646,0.529,-10.179,87.862,231475
2022-10-21,Glitch,0.675,0.466,-9.738,140.864,148781
2022-10-21,"Would've, Could've, Should've",0.483,0.84,-6.508,157.979,260362
2022-10-21,Dear Reader,0.562,0.388,-12.088,107.747,225194
2022-10-21,Hits Different,NA,NA,NA,NA,NA
2022-10-21,"You're On Your Own, Kid (Strings Remix)",NA,NA,NA,NA,NA
2022-10-21,Sweet Nothing (Piano Remix),NA,NA,NA,NA,NA
