album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2012-10-22,State Of Grace,0.588,0.825,-5.882,129.968,295187
2012-10-22,Red,0.602,0.896,-4.267,124.978,220827
2012-10-22,Treacherous,0.705,0.621,-8.086,109.993,240773
2012-10-22,I Knew You Were Trouble,0.622,0.469,-6.798,77.019,217973
2012-10-22,All Too Well,0.602,0.609,-7.803,93.06,327893
2012-10-22,22,0.658,0.729,-6.561,104.007,230133
2012-10-22,I Almost Do,0.567,0.481,-7.357,145.865,242573
2012-10-22,We Are Never Ever Getting Back Together,0.628,0.676,-5.911,85.984,191880
2012-10-22,Stay Stay Stay,0.729,0.748,-6.67,99.981,204827
2012-10-22,The Last Time,0.505,0.443,-7.039,94.069,298293
2012-10-22,Holy Ground,0.627,0.816,-6.698,157.043,201853
2012-10-22,Sad Beautiful Tragic,0.624,0.34,-12.411,129.987,283680
2012-10-22,The Lucky One,0.706,0.499,-7.675,117.937,240133
2012-10-22,Everything Has Changed,0.624,0.458,-6.755,80.017,243933
2012-10-22,Starlight,0.649,0.777,-5.804,126.018,217827
2012-10-22,Begin Again,0.53,0.526,-8.349,79.025,237613
2012-10-22,The Moment I Knew,0.62,0.506,-7.327,126.015,285560
2012-10-22,Come Back...Be Here,0.483,0.548,-6.291,79.926,222707
2012-10-22,Girl At Home,0.733,0.59,-5.86,125.048,220320
2012-10-22,Treacherous (Original Demo Recording),0.828,0.64,-8.248,109.993,239720
2012-10-22,Red (Original Demo Recording),0.678,0.902,-4.659,124.998,226280
2012-10-22,State Of Grace (Acoustic Version),0.626,0.118,-15.91,105.597,323080
