album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2010-10-25,Mine,0.624,0.757,-2.94,121.07,230707
2010-10-25,Sparks Fly,0.605,0.787,-3.002,114.987,260933
2010-10-25,Back To December,0.529,0.67,-4.663,141.893,293027
2010-10-25,Speak Now,0.709,0.599,-3.734,118.975,240760
2010-10-25,Dear John,0.589,0.47,-5.32,119.386,403920
2010-10-25,Mean,0.568,0.761,-3.987,163.974,237733
2010-10-25,The Story Of Us,0.543,0.818,-3.611,139.898,265667
2010-10-25,Never Grow Up,0.714,0.305,-8.837,124.91,290467
2010-10-25,Enchanted,0.455,0.623,-3.878,163.893,352187
2010-10-25,Better Than Revenge,0.516,0.917,-3.186,145.821,217160
2010-10-25,Innocent,0.552,0.608,-5.29,134.05,302253
2010-10-25,Haunted,0.436,0.95,-2.627,162.088,242080
2010-10-25,Last Kiss,0.371,0.341,-9.475,89.038,367133
2010-10-25,Long Live,0.418,0.68,-4.3,204.12,317453
2010-10-25,Ours,0.608,0.569,-7.227,159.845,237920
2010-10-25,If This Was A Movie,0.511,0.719,-3.457,147.852,234547
2010-10-25,Superman,0.582,0.765,-3.648,131.982,275960
