album_release,track_name,danceability,energy,loudness,tempo,duration_ms
2006-10-24,Tim McGraw,0.58,0.491,-6.462,76.009,232107
2006-10-24,Picture To Burn,0.658,0.877,-2.098,105.586,173067
2006-10-24,Teardrops On My Guitar,0.621,0.417,-6.941,99.953,203040
2006-10-24,A Place In This World,0.576,0.777,-2.881,115.028,199200
2006-10-24,Cold As You,0.418,0.482,-5.769,175.558,239013
2006-10-24,The Outside,0.589,0.805,-4.055,112.982,207107
2006-10-24,Tied Together With A Smile,0.479,0.578,-4.963,146.165,248107
2006-10-24,Stay Beautiful,0.594,0.629,-4.919,131.597,236053
2006-10-24,Should've Said No,0.476,0.777,-3.771,167.964,242200
2006-10-24,Mary's Song (Oh My My My),0.403,0.627,-5.28,74.9,213080
2006-10-24,Our Song,0.668,0.672,-4.931,89.011,201107
2006-10-24,I'm Only Me When I'm With You,0.563,0.934,-3.629,143.964,213053
2006-10-24,Invisible,0.612,0.394,-5.723,96.001,203227
2006-10-24,A Perfectly Good Heart,0.483,0.751,-5.726,156.092,220147
2006-10-24,Teardrops On My Guitar (Pop Version),0.459,0.753,-3.827,199.997,179067
