Site,TN,TP,DOC,Chl_A,Latitude,Longitude
8,640,7.36,2.44,2.22,43.6231,-79.4528
9,555,7.67,2.44,2.48,43.5867,-79.395
12,465,4.39,2.38,2.53,43.5033,-79.3531
19,475,6.63,2.49,3.36,43.3836,-79.2853
18,505,4.38,2.42,1.78,43.3036,-79.2781
17,492,4.67,2.44,0.55,43.2247,-79.2719
29,521,3.71,2.28,0.79,43.8183,-78.87
28,506,4.57,2.45,1.33,43.775,-78.8533
27,501,6.09,2.35,2.52,43.69,-78.83
33,473,6.64,2.51,3.44,43.5964,-78.8144
34,479,9.41,2.44,5.68,43.4611,-78.7594
35,441,8.98,2.57,3.96,43.3619,-78.7294
43,499,5.48,2.5,0.56,43.9497,-78.0497
42,481,5.22,2.62,2.51,43.8397,-78.0369
41,435,5.46,2.44,2.84,43.7167,-78.0269
40,466,5.94,2.4,2.68,43.5903,-78.0117
39,441,14.2,2.41,6.56,43.4861,-78.0003
38,416,8.27,2.69,3.32,43.3833,-77.9894
48,472,2.66,2.73,0.38,43.88,-77.44
49,482,2.32,2.32,0.82,43.7706,-77.4383
716,484,8.73,2.43,6.16,43.5972,-77.44
55,468,5.44,3.42,4.96,43.4439,-77.4389
58,439,7.74,2.46,4.92,43.328,-77.438
717,477,3.43,2.2,0.44,43.3,-77.44
63,437,5.2,2.37,4,43.7317,-77.0169
715,446,4.59,2.48,5.36,43.6356,-76.9694
64,448,9.77,2.39,9.72,43.525,-76.926667
65,433,8.42,2.39,4.96,43.423333,-76.883333
66,489,5.54,2.8,2.06,43.333333,-76.84
71,492,3.03,2.87,3,43.4772,-76.5269
74,472,4.45,2.94,4.8,43.75,-76.518333
